Date;GPR_RUSSIA;GPR_INDIA;GPR_BRAZIL;GPR_CHINA;GPR_SAUDI_ARABIA;GPR_VENEZUELA
mar/16;"113,5914977";"64,51118601";"154,1112191";"80,49667615";"90,95666439";"81,91756555"
abr/16;"129,6651104";"63,18496486";"179,5709584";"87,03278686";"109,2384433";"110,660571"
mai/16;"124,7489492";"90,64405222";"166,2614234";"106,6882521";"108,0494962";"116,6849044"
jun/16;"80,03227447";"79,0567046";"113,027934";"88,65862532";"91,23784763";"80,45475188"
jul/16;"114,9881335";"78,20166278";"133,3020435";"93,71052159";"89,12940997";"96,95156963"
ago/16;"108,1987464";"65,36098972";"87,05347071";"73,29609374";"73,48568723";"62,64758704"
set/16;"139,3015031";"104,8230192";"114,1927831";"110,3594521";"117,4922998";"108,0464442"
out/16;"145,3419134";"83,70955998";"71,31364414";"91,66140776";"118,2759943";"126,3704625"
nov/16;"154,4215994";"84,15473054";"86,66742428";"134,5114509";"121,4621501";"116,6283984"
dez/16;"135,1195057";"75,60466476";"110,8864592";"135,8482107";"121,7272025";"140,8517093"
jan/17;"135,7427636";"94,48608052";"112,0596168";"124,8772568";"125,1357252";"76,53738646"
fev/17;"140,3126924";"85,1420696";"102,8899192";"127,0571502";"103,3840626";"83,91555495"
mar/17;"93,2830154";"56,24486649";"102,507255";"117,291778";"86,66601648";"72,40927669"
abr/17;"148,1387346";"80,66572844";"140,7193413";"159,6902078";"106,0645951";"220,4546249"
mai/17;"106,0663198";"70,94585816";"98,07184496";"118,2267716";"107,8855928";"147,1282592"
jun/17;"100,0003154";"82,7288705";"108,8827353";"102,3740136";"154,0828926";"97,20697419"
jul/17;"105,8919742";"71,64429989";"98,16909873";"105,3623761";"120,7559748";"154,5056306"
ago/17;"135,8571535";"94,3650415";"87,04396051";"158,5313529";"109,4694362";"161,6063678"
set/17;"122,5582604";"102,0135298";"115,8504302";"140,428262";"120,9833872";"127,7605546"
out/17;"102,1230671";"72,2308699";"64,02990844";"95,49403387";"76,98340084";"71,95040928"
nov/17;"88,81221785";"82,63036002";"43,02294602";"101,6928981";"101,8534977";"84,26253403"
dez/17;"96,55886441";"56,46009631";"91,66946785";"96,85925141";"93,79746145";"90,99973042"
jan/18;"115,7421541";"108,2766077";"88,52883803";"115,8951347";"78,37816045";"100,5048393"
fev/18;"88,2755763";"72,81651834";"77,77416599";"96,63999687";"74,66210123";"70,27242143"
mar/18;"116,7112438";"80,64262228";"168,4020768";"178,6393942";"63,69545923";"84,00729936"
abr/18;"135,1898787";"86,08731781";"146,6138006";"174,1722747";"92,98855813";"115,2629723"
mai/18;"102,9566315";"82,74289267";"132,7438935";"155,708945";"96,1082795";"113,4899606"
jun/18;"72,05439482";"76,42449621";"101,7048599";"170,2836212";"53,27947234";"118,0375422"
jul/18;"94,69351614";"103,8102159";"96,35898596";"173,4241139";"70,22964609";"86,62491381"
ago/18;"104,3777542";"79,75652839";"130,7585794";"155,0841771";"61,8186769";"124,0071123"
set/18;"114,8932029";"88,2797468";"134,8374882";"157,9479809";"65,00791132";"120,8895417"
out/18;"121,3886566";"78,57131629";"202,9587874";"156,6229789";"79,97781337";"133,5134053"
nov/18;"115,4295696";"88,92046208";"133,0126594";"157,5767871";"83,50413164";"121,3686631"
dez/18;"125,5005532";"85,55738854";"112,8684505";"181,0934485";"99,59583692";"103,8093288"
jan/19;"133,0266641";"81,792081";"210,80121";"167,2269044";"78,14253303";"225,1797921"
fev/19;"135,247952";"137,7535494";"184,7045849";"163,3231312";"75,30102306";"194,4068844"
mar/19;"101,6090798";"106,8378922";"107,756077";"119,7362214";"56,7236738";"132,6506033"
abr/19;"113,7114606";"102,2452908";"130,3645218";"126,4380271";"89,94238123";"145,2671496"
mai/19;"136,1436221";"101,758716";"171,8380019";"189,1724057";"108,6318809";"206,3845462"
jun/19;"129,6801158";"91,31404781";"108,7872911";"186,9776918";"128,7308711";"133,2224858"
jul/19;"110,866913";"88,83705293";"122,8601145";"165,9809444";"67,87996527";"105,3225843"
ago/19;"135,9441485";"155,9020329";"179,2244122";"251,2251675";"78,4397785";"125,6248982"
set/19;"96,35512574";"107,2588257";"103,4362236";"180,226642";"111,7952841";"129,5231683"
out/19;"123,2324131";"97,30395901";"141,7621856";"171,8441278";"89,69032729";"99,0457838"
nov/19;"116,0422383";"92,58810685";"140,200004";"160,7936005";"57,94731158";"125,6929981"
dez/19;"115,3704167";"90,00117355";"123,4942139";"149,1233115";"65,3199579";"104,4881624"
jan/20;"140,5356388";"106,7766527";"139,1285233";"159,7816002";"119,859589";"125,966434"
fev/20;"117,2640651";"92,56683201";"100,5324289";"108,9476194";"53,91216974";"74,19288283"
mar/20;"166,2711977";"99,51688302";"135,3860995";"131,4424475";"143,4166039";"103,2647278"
abr/20;"137,3030659";"105,4042022";"206,7681107";"134,5272211";"96,90141683";"90,6116468"
mai/20;"107,9275293";"94,23928852";"162,3754086";"148,9788653";"82,77525545";"67,0747039"
jun/20;"133,4036353";"121,8681286";"201,0135133";"152,6110949";"70,82890132";"128,1513431"
